id	filename	md5	size	state
de72e601-b104-4c2e-a137-e97226dfaa31	nationwidechildrens.org_clinical.TCGA-73-4658.xml	09b6b49bdfac2d2f57092475b2efd1a5	34388	released
d3bc0e7d-52c8-4640-977f-c983dd256591	nationwidechildrens.org_clinical.TCGA-78-7166.xml	f62ceab976493a73dd12a159390bba24	39313	released
c595a541-1c2a-4ce4-9092-13fffa2a24eb	nationwidechildrens.org_clinical.TCGA-73-4676.xml	9734edbdd0d5ced3445f34185803e78d	72761	released
49260aba-249b-492b-95eb-92c9030d5e98	nationwidechildrens.org_clinical.TCGA-38-4629.xml	03069d86ed27ac2db7c4127167acaa8f	34423	released
6b8eace0-1ae0-47d7-9567-a9c1a133baea	nationwidechildrens.org_clinical.TCGA-64-1677.xml	f54f1848481f268e7d90dcbea8280806	57611	released
b3900ef6-3672-406c-83b8-7e0c3be10304	nationwidechildrens.org_clinical.TCGA-55-6979.xml	130bb16285210dc39347062400bd0fe3	46458	released
047a94b3-267a-4a47-9c63-71641e2ae8bd	nationwidechildrens.org_clinical.TCGA-50-5939.xml	5bcad2aa7545584cf90cc5dd8204052b	34296	released
9f5ca565-41d7-471a-a05d-005d2e44ec53	nationwidechildrens.org_clinical.TCGA-64-5775.xml	924349946b1383492485677ff4dcd47f	46694	released
5a278a81-387b-404e-a14e-7b0672ae3ca4	nationwidechildrens.org_clinical.TCGA-50-5935.xml	aa58ec15250d5b4a6a389c44fcaa6ef4	39355	released
1f9d0790-5ada-421f-b388-4618f9e140d0	nationwidechildrens.org_clinical.TCGA-78-8660.xml	9ea1bbbb92fc19697147559057ee5793	32136	released
b83ef333-640b-4b8c-a757-f71dc5e1899a	nationwidechildrens.org_clinical.TCGA-55-8089.xml	1836122e843c326e5d446db7afef54ed	35421	released
2babe148-ba7d-4490-a7fd-43ff247ac468	nationwidechildrens.org_clinical.TCGA-62-A46P.xml	f2b6accc2a0213211e3cc75746569053	27396	released
a04b377c-58fe-4478-9400-b7797fb84b08	nationwidechildrens.org_clinical.TCGA-91-6829.xml	cd1f7655825ab75b212f55de854d3f64	34711	released
a9131d02-5790-45f9-9b91-ff93e893ad9b	nationwidechildrens.org_clinical.TCGA-MP-A4SW.xml	be69c5d4440ffa4d2245210491a7d101	26924	released
0b1ae95c-da7d-4c3a-a745-ed2cc66d3650	nationwidechildrens.org_clinical.TCGA-78-8662.xml	caad25563d2bf28b3570e56bcb7683d6	27317	released
d0f3caf7-8a2f-40a9-a556-d9674b735c09	nationwidechildrens.org_clinical.TCGA-75-6212.xml	2912a550c6fc1653dce3c7c5d17abee5	61713	released
70dd6453-ec85-4535-a408-d98fcdc8bd47	nationwidechildrens.org_clinical.TCGA-73-A9RS.xml	dda70098c53af06be3ba38407bae39bf	75704	released
d05a2b4b-20e4-4cac-984c-68d8ea93ee7e	nationwidechildrens.org_clinical.TCGA-75-6214.xml	a9a7ed082519d6a5e00c17105e4ddd98	43227	released
4810e9a8-bd1e-4d0d-8ee9-757320765b76	nationwidechildrens.org_clinical.TCGA-44-6777.xml	cf6ee27c5c4ab5271ebd4ba47ffa7bc2	39888	released
6cc342d7-d6eb-44a2-b01b-211b356db831	nationwidechildrens.org_clinical.TCGA-86-8055.xml	4cfbd8a08b6b29cfaeafb277ac80ad58	35201	released
cbc213a9-e3ee-49e5-85e0-45a0f54a2d3f	nationwidechildrens.org_clinical.TCGA-55-6982.xml	6668db5e4a3fe69be93f408c36b9b030	57093	released
3076c78a-adfa-4645-982e-c8a26df2a271	nationwidechildrens.org_clinical.TCGA-86-A4D0.xml	186f543a032ddb51faa94f539369856c	46803	released
e0847fc9-92c3-451e-8fa8-5c93a927b56c	nationwidechildrens.org_clinical.TCGA-78-7145.xml	11cdf61072052aaf3c9274b9334ee124	70657	released
62c5270a-e054-449a-befe-7f43b6db941e	nationwidechildrens.org_clinical.TCGA-86-7714.xml	1a27c3d90fb1e9cdf2a692aef9bcf45b	34987	released
3e1548fd-dcf7-4ba6-85a3-8b98ff75753e	nationwidechildrens.org_clinical.TCGA-49-4507.xml	e061e302c460cf6485730b3810bda11c	57961	released
